grantee,grantee_url,description,Award Date,Amount,Term,Program
"Boston Youth Symphony Orchestras, Inc.",http://www.bysoweb.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",6/23/2015,"$100,000",24 months,Arts & Creativity
"Center for the Development of Teen Empowerment Programs, Inc.",http://www.teenempowerment.org,To train high-risk youth to lead efforts to make their communities safer and stronger.,6/23/2015,"$100,000",12 months,Education
"Ceres, Inc.",http://www.ceres.org,"To encourage private companies, especially in the financial sector, to adopt business practices that help reduce climate change, and to inform public policy related to clean-energy investments.",6/23/2015,"$400,000",24 months,Climate
"City Year, Inc.",http://www.cityyear.org,"To increase the number of AmeriCorps members serving as full-time tutors, mentors, and role models in Boston Public Schools.",6/23/2015,"$1,000,000",36 months,Education
Community Music Center of Boston,http://www.cmcb.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",6/23/2015,"$100,000",24 months,Arts & Creativity
"EdVestors, Inc.",http://www.edvestors.org,"To support phase III of the Boston Public School Arts Expansion Fund, continuing efforts to expand high-quality, weekly arts instruction to 100% of students up through grade 8 and developing strategies to meet the needs of high school students.",6/23/2015,"$1,100,000",36 months,Arts & Creativity
"Environmental Defense Fund, Inc.",http://www.edf.org,"To support the Alliance to Curb Climate Change, a partnership with The Nature Conservancy, with the goal of promoting bipartisan leadership on climate and energy policy in ten states, and to support Climate Corps Boston.",6/23/2015,"$650,000",24 months,Climate
Environmental Grantmakers Association,http://www.ega.org,Barr Foundation member support,6/23/2015,"$7,500",12 months,Memberships & Sponsorships
"Freedom House, Inc.",http://www.freedomhouse.com,To provide core operating and capacity-building support.,6/23/2015,"$100,000",12 months,Education
"From the Top, Inc.",http://www.fromthetop.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",6/23/2015,"$75,000",24 months,Arts & Creativity
"GuideStar USA, Inc.",http://www.guidestar.org,"To implement a new strategic plan, GuideStar 2020, an effort to build the information infrastructure for social change.",6/23/2015,"$300,000",24 months,Sector Effectiveness
"Hyde Square Task Force, Inc.",http://www.hydesquare.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",6/23/2015,"$100,000",24 months,Arts & Creativity
Innovation Network for Communities,http://www.in4c.net,"To support phase one of Climate Ready Boston, with the goal of developing a long-term strategy for the Boston metro area to prepare for the effects of climate change.",6/23/2015,"$460,000",24 months,Climate
KOMAZA,http://www.komaza.org,"To build and solidify capacity for information technology, monitoring, and evaluation, and for forest research and development.",6/23/2015,"$200,000",18 months,Global
"Massachusetts Budget and Policy Center, Inc.",http://www.massbudget.org,"To produce research about the state budget, including assessments about the adequacy of funding for education, transportation, and the arts, and to engage in outreach and communications related to that research.",6/23/2015,"$375,000",36 months,Sector Effectiveness
Mercy Corps,http://www.mercycorps.org,"To improve locally-led, natural resource management and sustainable agricultural initiatives in rural Haiti.",6/23/2015,"$500,000",12 months,Global
"OrigiNation, Inc.",http://www.originationinc.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",6/23/2015,"$75,000",24 months,Arts & Creativity
"Partnership Project, Inc.",http://www.saveourenvironment.org,To coordinate the Climate Action Campaign to demonstrate to policy-makers and the media that Americans want their leaders to stand firmly on the side of public health and the environment.,6/23/2015,"$550,000",12 months,Climate
"Project STEP, Inc. Symphony Hall",http://www.projectstep.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",6/23/2015,"$60,000",24 months,Arts & Creativity
Relief Society of Tigray (REST),,"To diversify farm and household food production and incomes while restoring the watershed and promoting the sustainable use of natural resources in Bete Gabriel, Hintalo Wajerat, Tigray, Ethiopia.",6/23/2015,"$250,000",24 months,Global
"Sociedad Latina, Inc.",http://www.sociedadlatina.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",6/23/2015,"$75,000",24 months,Arts & Creativity
Technical Development Corporation,http://www.tdcorp.org,"To provide oversight for the City of Boston's cultural planning process, Boston Creates, and to support the City in managing the planning.",6/23/2015,"$375,000",12 months,Arts & Creativity
"Theater Offensive, Inc.",http://www.thetheateroffensive.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",6/23/2015,"$85,000",24 months,Arts & Creativity
"The Boston Private Industry Council, Inc.",http://www.bostonpic.org,To coordinate the Boston Opportunity Youth Collaborative and implement a collective impact plan to build education and career pathways for opportunity youth in Boston.,6/23/2015,"$300,000",36 months,Education
"The Massachusetts Institute for a New Commonwealth, Inc.",http://www.massinc.org,To provide core operating and capacity-building support.,6/23/2015,"$450,000",36 months,Sector Effectiveness
The Nature Conservancy,http://www.nature.org,"To support the Alliance to Curb Climate Change, a partnership with the Environmental Defense Fund, with the goal of promoting bipartisan leadership on climate and energy policy in ten states.",6/23/2015,"$400,000",24 months,Climate
The Nature Conservancy,http://www.nature.org,"To improve climate resiliency and access to high-quality information resources and planning tools for communities and stakeholders of Africa's Lake Tanganyika, while also building the critical capacity of the Lake Tanganyika Authority.",6/23/2015,"$650,000",24 months,Global
The Trust for Public Land,http://www.tpl.org,"To pilot the Climate-Smart Cities program in Boston and, later, the metro area, incorporating Boston-specific data into its modeling and online mapping tools to help inform future climate-preparedness planning.",6/23/2015,"$500,000",24 months,Climate
Vote Solar,http://www.votesolar.org,"To bring solar energy to scale by removing barriers to market participation in New England, with a focus on Massachusetts, Connecticut, and Vermont.",6/23/2015,"$200,000",24 months,Climate
"West End House, Inc.",http://www.westendhouse.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",6/23/2015,"$85,000",24 months,Arts & Creativity
"ZUMIX, Inc.",http://www.zumix.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",6/23/2015,"$100,000",24 months,Arts & Creativity
"A Better City Initiative, Inc.",http://www.abettercity.org,To support the 2015 Norman B. Leventhal Excellence in City Building Awards.,5/27/2015,"$5,000",12 months,Memberships & Sponsorships
"A Better City Initiative, Inc.",http://www.abettercity.org,"To create a public-realm plan to enhance public spaces that encourages greater use of public transit, biking, and walking throughout the City of Boston.",5/27/2015,"$250,000",24 months,Climate
"A Better City Initiative, Inc.",http://www.abettercity.org,To develop a mobile-source emissions calculator to generate data that will lead to a greater understanding about average fuel efficiencies and their related greenhouse gas emissions and that will serve as a performance indicator for Go Boston 2030.,5/27/2015,"$20,000",12 months,Climate
"Associated Grant Makers, Inc.",http://agmconnect.org,Barr Foundation membership dues for Boston Education Funders,5/27/2015,"$2,500",12 months,Memberships & Sponsorships
"Boston Educational Development Foundation, Inc.",http://www.bostonpublicschools.org,To support incoming Boston Public Schools superintendent Dr. Tommy Chang and a transition team in a listen-and-learn tour and in creating a 100-day-plan for the start of Dr. Chang's tenure.,5/27/2015,"$100,000",12 months,Education
Communication Network,http://www.comnetwork.org,To support The Communications Network's 2015 Annual Conference.,5/27/2015,"$5,000",12 months,Memberships & Sponsorships
Grantmakers in the Arts,http://www.giarts.org,Barr Foundation membership,5/27/2015,"$25,000",12 months,Memberships & Sponsorships
Innovation Network for Communities,http://www.in4c.net,"To launch and implement the Renewable Energy Leadership Prize, a $100,000 award to the nonprofit institution in Greater Boston that develops the most compelling strategy for large-scale renewable energy generation from either on-site or off-site sources.",5/27/2015,"$125,000",12 months,Climate
"Charles River Conservancy, Inc.",http://www.thecharles.org,To help complete The Lynch Family Skatepark.,5/13/2015,"$75,000",12 months,Founding Trustee-directed
Foundation Center,http://www.foundationcenter.org,"To redesign the Glasspockets transparency and accountability assessment and the benchmark visualization, as well as undertake communications efforts to promote transparency principles and further Glasspockets use.",4/27/2015,"$100,000",12 months,Sector Effectiveness
